display_name,2020-02 MoM,2020-03 MoM,2020-04 MoM,2020-05 MoM,2020-06 MoM,2020-07 MoM,2020-08 MoM,2020-09 MoM,2020-10 MoM,2020-11 MoM,2020-12 MoM,2021-01 MoM,2021-02 MoM,2021-03 MoM,2021-04 MoM,2021-05 MoM,2021-06 MoM,2021-07 MoM,2021-08 MoM,2021-09 MoM,2021-10 MoM,2021-11 MoM,2021-12 MoM,2022-01 MoM,2022-02 MoM,2022-03 MoM,2022-04 MoM,2022-05 MoM,2022-06 MoM,2022-07 MoM,2022-08 MoM,2022-09 MoM,2022-10 MoM,2022-11 MoM,2022-12 MoM,2023-01 MoM,2023-02 MoM,2023-03 MoM,2023-04 MoM,2023-05 MoM,2023-06 MoM,2023-07 MoM,2023-08 MoM,2023-09 MoM,2023-10 MoM,2023-11 MoM,2023-12 MoM,2024-01 MoM,2024-02 MoM,2024-03 MoM,2024-04 MoM,2024-05 MoM,2024-06 MoM,2024-07 MoM,2024-08 MoM,2024-09 MoM
IT Operations & Helpdesk,,-2.3291898287425394,-14.790635013108055,-1.554613475440414,1.3663142858270305,2.055617084141903,3.997909689428658,-2.0368027053692783,2.5853476995377545,4.68725098389875,4.059843337727997,4.105761467152247,-0.22004067735521549,2.7439552916949106,2.1247146029135244,6.918952990988858,5.4597707758356595,5.580694775381745,7.7933814093874565,1.821773292741291,3.6860982468136294,6.237841132705024,4.566084608555676,2.4479359198753325,-1.5520121685010269,1.821499065229415,1.0389002578059525,4.021019166618323,0.539642172798005,0.27479059466108957,1.8491060401878645,-3.506680180595234,-1.162100068561045,4.537507213668879,-1.3303100684590508,-2.379070176950371,-0.7777586493319166,-1.9743844596568638,-3.9439950545186675,-2.488442487390885,-0.9251177100842445,-0.3971338669034985,0.10928635158615752,-6.245698349274864,-0.4894780303438706,1.4721756890277549,-0.19113999315319985,1.1799509876927905,-6.543266928434887,-5.490616204581855,-4.599388271099936,0.6813371737198537,-1.9893268838970135,-2.6341122185931876,-0.7641725917131192,-5.143268384628829
Information Design & Documentation,,-3.1324719815493007,-17.24955653793756,-7.670944975300076,0.8280421663071191,2.4564497505784155,1.4938748594472528,-0.8365819797306662,3.734546723729726,7.375325427256119,3.2681897504815316,7.18161436614988,3.88549537702616,5.925688477295088,2.5114883279825806,4.198058314978215,4.911686790987235,6.502114549225868,9.473572258653572,2.5458918310526713,4.299912216508872,7.027783070213123,2.657035163743937,3.456696025293593,2.8012673069282457,1.4648327998608934,0.8531927695084596,0.05778664370765796,-1.1112613012971395,-2.5444154052423285,-0.2999235300672698,-3.7057714482098603,-1.358795010122249,3.731457848941422,-4.604704487155875,-3.569971398402849,-3.054291564368661,-2.2861678273443653,-5.2170504009420915,-6.530879076224649,-2.592918194155569,-1.6173855114149038,-0.6056712614141757,-3.9789662390582237,-2.722769671757397,2.239025983024745,-4.68692105608377,-0.9307068989196532,-5.259325544467308,-7.330200301136092,-4.946442109884098,-4.8767462078044606,-2.345676718735301,-1.9960629436909016,-0.6503010796939157,-4.062790643146874
Software Development,,-3.927253458572866,-14.060044855696274,-3.7868162692846985,2.4127597716364635,2.3804992546071713,3.12872744171635,-0.13763977083401935,3.2942699487363614,3.5718298852416064,3.8967505735408636,4.610424539312774,0.9550558942737375,4.1918483181558885,2.795473132098225,4.435315634341808,4.780142047081726,6.532543000776503,7.475139312213308,2.774865443804697,5.064399374293682,3.674628299906857,2.73805809053127,0.814656764868249,1.2530731066295653,1.146081180538494,1.9261856228280694,2.2705398363481955,-0.3909630886720139,-2.014219592277211,-0.7120995674844921,-2.586733797010321,-0.8564815886692778,0.23384860111184125,-2.2129559754374917,-4.412172786976221,-0.7458515453967474,-3.6843500549597064,-5.577528448326774,-5.506813417999501,-2.455854912749811,-1.5512380483792998,-1.54388112920808,-4.874707289757685,0.10606446184970864,-2.189291383982994,-2.5040720168968633,-1.1784279218946314,-6.573449422276378,-7.139246259354626,-4.977984678597302,-2.926106925270866,-3.888863572497292,-3.0325970699343063,-1.410654475221862,-4.304687629155712
