date,jobcountry,indeed_job_postings_index,display_name
2020-02-01,DE,93.73620689655172,Agriculture & Forestry
2020-03-01,DE,83.26064516129033,Agriculture & Forestry
2020-04-01,DE,70.09733333333334,Agriculture & Forestry
2020-05-01,DE,65.3441935483871,Agriculture & Forestry
2020-06-01,DE,68.094,Agriculture & Forestry
2020-07-01,DE,74.7258064516129,Agriculture & Forestry
2020-08-01,DE,79.77709677419355,Agriculture & Forestry
2020-09-01,DE,80.21833333333333,Agriculture & Forestry
2020-10-01,DE,88.00935483870968,Agriculture & Forestry
2020-11-01,DE,92.02433333333333,Agriculture & Forestry
2020-12-01,DE,95.34548387096774,Agriculture & Forestry
2021-01-01,DE,114.03387096774195,Agriculture & Forestry
2021-02-01,DE,110.03107142857142,Agriculture & Forestry
2021-03-01,DE,105.1974193548387,Agriculture & Forestry
2021-04-01,DE,101.43933333333332,Agriculture & Forestry
2021-05-01,DE,95.80903225806452,Agriculture & Forestry
2021-06-01,DE,99.51566666666666,Agriculture & Forestry
2021-07-01,DE,103.90096774193547,Agriculture & Forestry
2021-08-01,DE,113.36290322580645,Agriculture & Forestry
2021-09-01,DE,119.384,Agriculture & Forestry
2021-10-01,DE,127.4674193548387,Agriculture & Forestry
2021-11-01,DE,130.38866666666667,Agriculture & Forestry
2021-12-01,DE,127.39870967741936,Agriculture & Forestry
2022-01-01,DE,138.8177419354839,Agriculture & Forestry
2022-02-01,DE,138.12071428571429,Agriculture & Forestry
2022-03-01,DE,134.20290322580644,Agriculture & Forestry
2022-04-01,DE,127.72166666666666,Agriculture & Forestry
2022-05-01,DE,121.56129032258065,Agriculture & Forestry
2022-06-01,DE,126.66466666666666,Agriculture & Forestry
2022-07-01,DE,146.5809677419355,Agriculture & Forestry
2022-08-01,DE,152.23,Agriculture & Forestry
2022-09-01,DE,150.55733333333333,Agriculture & Forestry
2022-10-01,DE,161.3906451612903,Agriculture & Forestry
2022-11-01,DE,162.094,Agriculture & Forestry
2022-12-01,DE,161.08193548387098,Agriculture & Forestry
2023-01-01,DE,188.6077419354839,Agriculture & Forestry
2023-02-01,DE,174.48642857142858,Agriculture & Forestry
2023-03-01,DE,158.00870967741938,Agriculture & Forestry
2023-04-01,DE,151.00766666666667,Agriculture & Forestry
2023-05-01,DE,143.78774193548387,Agriculture & Forestry
2023-06-01,DE,143.006,Agriculture & Forestry
2023-07-01,DE,146.93322580645162,Agriculture & Forestry
2023-08-01,DE,155.22935483870967,Agriculture & Forestry
2023-09-01,DE,154.84933333333336,Agriculture & Forestry
2023-10-01,DE,162.2225806451613,Agriculture & Forestry
2023-11-01,DE,157.0593333333333,Agriculture & Forestry
2023-12-01,DE,152.5374193548387,Agriculture & Forestry
2024-01-01,DE,170.98193548387096,Agriculture & Forestry
2024-02-01,DE,161.18655172413793,Agriculture & Forestry
2024-03-01,DE,149.24064516129033,Agriculture & Forestry
2024-04-01,DE,142.288,Agriculture & Forestry
2024-05-01,DE,135.38096774193548,Agriculture & Forestry
2024-06-01,DE,140.70533333333333,Agriculture & Forestry
2024-07-01,DE,144.23774193548385,Agriculture & Forestry
2024-08-01,DE,148.19290322580645,Agriculture & Forestry
2024-09-01,DE,147.91,Agriculture & Forestry
2020-02-01,DE,102.43275862068967,Architecture
2020-03-01,DE,98.45870967741935,Architecture
2020-04-01,DE,83.78633333333333,Architecture
2020-05-01,DE,81.45709677419354,Architecture
2020-06-01,DE,82.52533333333334,Architecture
2020-07-01,DE,85.15096774193547,Architecture
2020-08-01,DE,87.61677419354838,Architecture
2020-09-01,DE,88.19699999999999,Architecture
2020-10-01,DE,91.38354838709677,Architecture
2020-11-01,DE,93.18333333333334,Architecture
2020-12-01,DE,94.82129032258065,Architecture
2021-01-01,DE,97.80870967741936,Architecture
2021-02-01,DE,98.87142857142858,Architecture
2021-03-01,DE,100.68903225806451,Architecture
2021-04-01,DE,100.76233333333333,Architecture
2021-05-01,DE,103.47096774193548,Architecture
2021-06-01,DE,109.075,Architecture
2021-07-01,DE,118.6,Architecture
2021-08-01,DE,126.92225806451613,Architecture
2021-09-01,DE,129.114,Architecture
2021-10-01,DE,131.9516129032258,Architecture
2021-11-01,DE,137.22133333333335,Architecture
2021-12-01,DE,138.29548387096773,Architecture
2022-01-01,DE,138.05612903225807,Architecture
2022-02-01,DE,140.19035714285715,Architecture
2022-03-01,DE,140.83032258064515,Architecture
2022-04-01,DE,139.95166666666668,Architecture
2022-05-01,DE,138.9583870967742,Architecture
2022-06-01,DE,137.459,Architecture
2022-07-01,DE,135.9958064516129,Architecture
2022-08-01,DE,137.21387096774194,Architecture
2022-09-01,DE,137.5256666666667,Architecture
2022-10-01,DE,137.18806451612903,Architecture
2022-11-01,DE,137.23633333333333,Architecture
2022-12-01,DE,137.58225806451614,Architecture
